CC#;Description;Range;Value
1;Modulation;0-127;24
5;Portamento time;0-31;15
9;FX Engine;0-127;108
24;Voice A Wave;0-127;105
25;Voice B Wave;0-127;0
26;Voice C Wave;0-127;0
27;Voice D Wave;0-127;0
28;LFO 2 Amount;0-99;0
47;Filter Env Amount;0-127;0
54;LFO 1 waveform;0-127;70
55;LFO 2 waveform;0-127;101
70;LFO 1 Amount;0-99;0
71;Filter Resonance;0-99;0
